apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason	evidence_functions	evidence_sites
1	PrividerTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/PrividerTy_Record_00BC_01FB	507	15	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005BD2E0	005BD32C record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005BD33F typed nested receiver=/SpriteClassTy at owner+0xE3 | 005BD346 typed nested receiver=/SpriteClassTy at owner+0x174 | 005BD351 typed nested receiver=/SpriteClassTy at owner+0x205 | 005BD381 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	ProdPanelTy	437	/SubmarineTitans/Recovered/InlineRecordArrays/ProdPanelTy_Record_01B5_0027	39	0	0	review	review-only repeated record geometry: counts=[5], factory_counts=[], stride=0x27, loops=1, exact_loops=1; ambiguous_or_missing_exact_extent	0053EF20	0053F0BF record cursor owner+0x1B5, stride=0x27, exact_count=5
1	SIDTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/SIDTy_Record_00BC_01FB	507	8	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005D9F80	005D9FC8 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005D9FD9 typed nested receiver=/SpriteClassTy at owner+0xE3 | 005D9FE0 typed nested receiver=/SpriteClassTy at owner+0x174 | 005D9FEB typed nested receiver=/SpriteClassTy at owner+0x205 | 005DA016 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	STAppC	4519	/SubmarineTitans/Recovered/InlineRecordArrays/STAppC_Record_11A7_0051	81	3	3	review	fixed inline record array from exact cursor loops: counts=[8], factory_counts=[], stride=0x51, loops=2, exact_loops=2, boundaries=[4519, 4553], access_offsets=3, typed_nested_objects=0; insufficient_record_semantics	0056EF50 | 0056F040	0056EFA7 record cursor owner+0x11C9, stride=0x51, exact_count=8 | 0056EFB2 MOV DL,byte ptr [EAX] | 0056EFB9 MOV BL,byte ptr [EAX + -0x1] | 0056EFC0 MOV BL,byte ptr [EAX + -0x22] | 0056EFCD MOV DL,byte ptr [EAX + -0x1] | 0056F04F record cursor owner+0x11A7, stride=0x51, exact_count=8 | 0056F055 MOV CL,byte ptr [EAX + 0x22] | 0056F062 MOV CL,byte ptr [EAX + 0x21] | 0056F06F CMP byte ptr [EAX],0x0 | 0056F074 MOV byte ptr [EAX],0x1
1	SettMapMTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/SettMapMTy_Record_00BC_01FB	507	4	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005D4B40	005D4B8C record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005D4B9F typed nested receiver=/SpriteClassTy at owner+0xE3 | 005D4BA6 typed nested receiver=/SpriteClassTy at owner+0x174 | 005D4BB1 typed nested receiver=/SpriteClassTy at owner+0x205 | 005D4BE1 record cursor owner+0xBC, stride=0x1FB, exact_count=13
1	SettMapTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/SettMapTy_Record_00BC_01FB	507	5	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005D77A0	005D77EC record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005D77FF typed nested receiver=/SpriteClassTy at owner+0xE3 | 005D7806 typed nested receiver=/SpriteClassTy at owner+0x174 | 005D7811 typed nested receiver=/SpriteClassTy at owner+0x205 | 005D7841 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	SndUnderAttMenegC	32	/SubmarineTitans/Recovered/InlineRecordArrays/SndUnderAttMenegC_Record_0020_001D	29	0	7	review	review-only repeated record geometry: counts=[], factory_counts=[], stride=0x1D, loops=2, exact_loops=0; ambiguous_or_missing_exact_extent	0061F660 | 00620DA0	0061F6FF record cursor owner+0x31, stride=0x1D, runtime_bound | 0061F702 MOV AL,byte ptr [ESI + -0x11] | 0061F71E MOV ECX,dword ptr [ESI + 0x8] | 0061F72A MOV ECX,dword ptr [ESI + -0x4] | 0061F730 IMUL EAX,dword ptr [ESI] | 0061F771 FILD dword ptr [ESI + -0xc] | 0061F774 MOV EDX,dword ptr [ESI + -0x8] | 0061F78C FILD dword ptr [ESI + -0x10] | 0061F7B7 MOV byte ptr [ESI + -0x11],0x0 | 00620DA8 record cursor owner+0x20, stride=0x1D, runtime_bound | 00620DAB CMP byte ptr [ESI],0x0
0	TLOBaseTy	1232	/SubmarineTitans/Recovered/InlineRecordArrays/TLOBaseTy_Record_04D0_0014	20	0	3	review	review-only repeated record geometry: counts=[], factory_counts=[], stride=0x14, loops=2, exact_loops=0; ambiguous_or_missing_exact_extent	004BEA70	004C097E record cursor owner+0x4DC, stride=0x14, runtime_bound | 004C099D MOV ECX,dword ptr [EAX + -0xc] | 004C09D8 MOV CX,word ptr [EAX + -0x8] | 004C09E0 MOV DL,byte ptr [EAX] | 004C09F2 MOV CX,word ptr [EAX + -0x8] | 004C09FA MOV DL,byte ptr [EAX] | 004C0A0C MOV CX,word ptr [EAX + -0x8] | 004C0A14 MOV DL,byte ptr [EAX] | 004C0A26 MOV CX,word ptr [EAX + -0x8] | 004C0A2E MOV DL,byte ptr [EAX] | 004C0A40 MOV CX,word ptr [EAX + -0x8] | 004C0A48 MOV DL,byte ptr [EAX] | 004C0A57 MOV CX,word ptr [EAX + -0x8] | 004C0A5F MOV DL,byte ptr [EAX] | 004C0A6E MOV CX,word ptr [EAX + -0x8] | 004C0A76 MOV DL,byte ptr [EAX] | 004C0A85 MOV CX,word ptr [EAX + -0x8] | 004C0A8D MOV DL,byte ptr [EAX] | 004C0A9C MOV CX,word ptr [EAX + -0x8] | 004C0AA4 MOV DL,byte ptr [EAX] | 004C0AB3 MOV CX,word ptr [EAX + -0x8] | 004C0ABB MOV DL,byte ptr [EAX] | 004C0AC3 MOV EDX,dword ptr [EAX + -0xc] | 004C0CBC record cursor owner+0x4DC, stride=0x14, runtime_bound | 004C0CDB MOV ECX,dword ptr [EAX + -0xc] | 004C0D1A MOV CX,word ptr [EAX + -0x8] | 004C0D22 MOV DL,byte ptr [EAX] | 004C0D34 MOV CX,word ptr [EAX + -0x8] | 004C0D3C MOV DL,byte ptr [EAX] | 004C0D4E MOV CX,word ptr [EAX + -0x8] | 004C0D56 MOV DL,byte ptr [EAX] | 004C0D65 MOV CX,word ptr [EAX + -0x8] | 004C0D6D MOV DL,byte ptr [EAX] | 004C0D7C MOV CX,word ptr [EAX + -0x8] | 004C0D84 MOV DL,byte ptr [EAX] | 004C0D93 MOV CX,word ptr [EAX + -0x8] | 004C0D9B MOV DL,byte ptr [EAX] | 004C0DAA MOV CX,word ptr [EAX + -0x8] | 004C0DB2 MOV DL,byte ptr [EAX] | 004C0DC1 MOV CX,word ptr [EAX + -0x8] | 004C0DC9 MOV DL,byte ptr [EAX] | 004C0DD1 MOV EDX,dword ptr [EAX + -0xc]
0	TLOBaseTy	1232	/SubmarineTitans/Recovered/InlineRecordArrays/TLOBaseTy_Record_04D0_0028	40	0	5	review	review-only repeated record geometry: counts=[], factory_counts=[], stride=0x28, loops=1, exact_loops=0; ambiguous_or_missing_exact_extent	004BEA70	004C06F4 record cursor owner+0x4D8, stride=0x28, runtime_bound | 004C06FA MOV EDX,dword ptr [EDI + -0x8] | 004C0701 MOV EDX,dword ptr [EDI + -0x4] | 004C070B MOV EAX,dword ptr [EDI] | 004C070F MOV ECX,dword ptr [EDI + 0xc] | 004C0712 MOV EAX,dword ptr [EDI] | 004C0716 SUB EDX,dword ptr [EDI + 0x8] | 004C0732 MOV EAX,dword ptr [EDI + 0x8] | 004C0742 IDIV dword ptr [EDI + 0xc]
0	UpgPanelTy	427	/SubmarineTitans/Recovered/InlineRecordArrays/UpgPanelTy_Record_01AB_0030	48	2	6	review	fixed inline record array from exact cursor loops: counts=[3], factory_counts=[], stride=0x30, loops=3, exact_loops=3, boundaries=[427, 571, 859], access_offsets=6, typed_nested_objects=0; insufficient_nonoverlapping_fields	00552BC0	00552C23 record cursor owner+0x1AB, stride=0x30, exact_count=3 | 00552C30 MOV EAX,dword ptr [ESI] | 00552C32 MOV CL,byte ptr [ESI] | 00552C3E MOV CL,byte ptr [ESI + 0x8] | 00552C89 record cursor owner+0x23B, stride=0x30, exact_count=3 | 00552CA2 MOV EDX,dword ptr [ESI] | 00552CA4 MOV AL,byte ptr [ESI] | 00552CB0 MOV CL,byte ptr [ESI + 0x8] | 00552D0D record cursor owner+0x35B, stride=0x30, exact_count=3 | 00552D1A MOV EDX,dword ptr [ESI] | 00552D1C MOV AL,byte ptr [ESI] | 00552D28 MOV CL,byte ptr [ESI + 0x8]
1	WaitTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/WaitTy_Record_00BC_01FB	507	15	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005EAD30	005EAD7C record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005EAD8F typed nested receiver=/SpriteClassTy at owner+0xE3 | 005EAD96 typed nested receiver=/SpriteClassTy at owner+0x174 | 005EADA1 typed nested receiver=/SpriteClassTy at owner+0x205 | 005EADD1 record cursor owner+0xBC, stride=0x1FB, exact_count=13
