apply	source_type	target_type	length	concrete_fields	defined_components	distinct_function_targets	global_reference_functions	global_pointer_roots	containing_pointer_fields	status	evidence
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0044EE30_F343D8F0		1544	4	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004758E0_51E65DA0		100	0	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004900E0_F89C68CE		1528	2	32	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00490B30_6CCF6294		52	3	3	0	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004ADBA0_0D812343		32	5	11	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B31C0_DBC5A6CD		752	6	6	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B9FA0_0EE05DAC		1016	5	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C21A0_FDE833A6		588	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DBA70_007C3C4C		1572	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004EE350_18D491EA		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004EF5F0_1FA558EC		24	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004F2560_DB98CB49		40	2	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004F2560_E9671A44		12	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004F3FE0_1578D6B9		28	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00505960_269BEFC9		8	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00515650_BBDC7053		12	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00517A50_98726C61		40	5	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00518C20_0B2995D2		12	0	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00521CF0_154649D2		412	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00521CF0_4A42AA62		412	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A430_8E4D893F		24	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A7B0_DD603BF4		24	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A890_F679384E		24	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052D0A0_90C708AF		148	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005389E0_C98BD548		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00538BA0_C95DDA1D		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00538DB0_574DDCD0		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053D7A0_044B6141		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053D920_829E6B3B		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053DAF0_3BDC2979		28	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053DCC0_5B8C160B		28	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053FCD0_D10A885A		24	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0053FEE0_A49592EB		24	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005449B0_F65ED625		16	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005557B0_28260162		40	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005582A0_F54946B9		80	8	14	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00566FF0_D4E50B19		3987	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0056A2A0_1BCB13A2		3595	2	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005738D0_F693E267		3567	0	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00575CB0_0408A0C4		8	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00575CB0_065D0A66		144	2	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00575CB0_C367735D		12	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00578630_C5BC66E1		100	2	17	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0057A2C0_ED849BD2		44	0	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0057B670_357441D5		8	3	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0057BF60_C1393638		68	1	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00581200_BFD82E5E		528	4	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00583270_0B8831C2		108	1	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00583270_F758043B		108	1	12	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005859A0_2434EC3C		100	1	15	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005859A0_2F00015D		100	1	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00588BC0_84BDD66C		132	1	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00589C10_CECA1FB4		148	3	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0058C760_4470B7C6		112	1	20	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0058C760_5C56630E		120	2	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0058D7C0_99A937C6		100	1	6	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005939E0_9F78A8B0		124	2	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005A4350_59BACD18		48	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005AA6A0_963F03BF		52	11	12	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005AB1D0_5E4FF544		7295	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005AD390_9AB360A8		40	1	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005B9730_A5560D7D		7302	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005C1610_B64592CA		24	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005CBBE0_2D1CAA09		84	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005CE0E0_C50CCD71		40	4	7	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D1400_5A9F7B11		84	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D1400_891386BF		84	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D5560_9031BF1B		84	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005DE670_7D81EFA7		1720	0	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005DEB90_FE6FE747		1720	4	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E1330_1AE0EB1C		1631	2	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E1330_47BFB53C		30	3	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E3E80_D5AAB6C7		48	1	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E4570_1DAE8C90		12	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E4570_F1672769		484	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E6640_0F1EE66B		6896	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005E84D0_1273B60D		12	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005EC370_C8356E04		586	1	7	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005EC9F0_B12E6711		736	8	10	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F10D0_60EBA416		16	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F1700_3FAAC417		64	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F35F0_EF2A6FDB		376	8	9	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F4A30_D28DC55A		40	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F5440_D27C3BDE		368	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005FAEE0_B5D482C5		748	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005FCAD0_CB9D1D1A		586	1	7	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006029C0_E1371936		928	8	12	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006048E0_C1705B76		540	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0060A4B0_7BF9A20C		568	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0060A940_933574B2		568	1	1	4	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0060AEF0_F338F36E		12	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0060C020_72526BDF		584	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00618240_21BDD5D4		44	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00621A70_2531BB4B		272	2	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00622990_E4CFDE96		269	1	7	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00623040_D312340A		124	7	7	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0062AF90_A19AAC76		32	2	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0062BBC0_87279CD5		76	0	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0062CCA0_BAB34A07		16	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0062E740_213F21A8		32	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00630430_7FBC9B9C		16	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00631F90_0DA5B9BC		116	0	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006366D0_80B1100F		48	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00637180_4094267C		48	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0063D410_5C8A60D7		828	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00640320_15B2529E		20	4	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006456C0_B6840D7C		108	1	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00648400_5C076F88		88	1	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00648530_D39EB612		84	2	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00652810_4F58F813		20	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065C9E0_147DDF60		1128	2	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065CB00_C527AFF0		1152	6	9	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065CD10_BA40DE58		1148	6	6	0	0		1	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065CD10_CB9334E9		1152	6	7	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065E900_F86511DB		44	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065EF70_E78A8204		564	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065EF70_EB9B857D		564	2	5	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00660D40_F4300C26		132	2	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00668180_E8377840		580	0	9	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00668330_F270680B		532	3	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006747E0_C06E010E		8	0	2	1	2	00811928|00811930	0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0067CF30_CDCAC01F		272	2	6	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0067D0A0_8092D907		200	1	1	2	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
