function_address	function	family	storage_local_parameter	conflicting_value_domains	machine_definitions	consumers	selected_fix	reason	status	pcode_anchor_verified	call_boundary_verified
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EF37:t3012 call_argument operand=0 target=00404264	ANALYSIS; direct=00404264; resolved=004AC410	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EF3F:t3019 call_argument operand=0 target=00404264	ANALYSIS; direct=00404264; resolved=004AC410	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EF9E:t3111 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EFB3:t3125 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EEBF:t2883 call_argument operand=0 target=00404264	ANALYSIS; direct=00404264; resolved=004AC410	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EEC7:t2890 call_argument operand=0 target=00404264	ANALYSIS; direct=00404264; resolved=004AC410	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EEF5:t2936 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	puVar8/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041EF0B:t2950 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F45F:t278 call_argument operand=0 target=00401064	ANALYSIS; direct=00401064; resolved=004ABE40	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F468:t285 call_argument operand=0 target=004030BC	ANALYSIS; direct=004030BC; resolved=004AC040	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F50C:t563 call_argument operand=0 target=00401064	ANALYSIS; direct=00401064; resolved=004ABE40	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F515:t570 call_argument operand=0 target=004030BC	ANALYSIS; direct=004030BC; resolved=004AC040	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F53A:t642 call_argument operand=0 target=00401064	ANALYSIS; direct=00401064; resolved=004ABE40	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F543:t649 call_argument operand=0 target=004030BC	ANALYSIS; direct=004030BC; resolved=004AC040	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F592:t750 call_argument operand=0 target=00401064	ANALYSIS; direct=00401064; resolved=004ABE40	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	puVar1/mg1	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0041F59B:t757 call_argument operand=0 target=004030BC	ANALYSIS; direct=004030BC; resolved=004AC040	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	uVar3/mg0	scalar(/uint) -> scalar(/int)	0041F431:t1401 signed_scalar_role operand=-1 target=	INT_SDIV	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
0041F3B0	FUN_0041f3b0	local_lifetime	uVar3/mg2	scalar(/uint) -> scalar(/int)	0041F4E5:t1404 signed_scalar_role operand=-1 target=	INT_SDIV	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	004206B4:t1240 call_argument operand=0 target=00404183	ANALYSIS; direct=00404183; resolved=004AB880	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	004206E9:t1285 call_argument operand=0 target=00404183	ANALYSIS; direct=00404183; resolved=004AB880	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	004207A6:t1451 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	004207BC:t1465 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	004207CC:t1492 call_argument operand=0 target=00404264	ANALYSIS; direct=00404264; resolved=004AC410	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	004207D5:t1499 call_argument operand=0 target=00404264	ANALYSIS; direct=00404264; resolved=004AC410	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	00420809:t1545 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420340	STSprGameObjC::LoadActFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	0042081E:t1559 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=8; score=32; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420AE0	STSprGameObjC::LoadLifeFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	00420D97:t1290 call_argument operand=0 target=00404183	ANALYSIS; direct=00404183; resolved=004AB880	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420AE0	STSprGameObjC::LoadLifeFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	00420DCB:t1329 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420AE0	STSprGameObjC::LoadLifeFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	00420DED:t1369 call_argument operand=0 target=00404183	ANALYSIS; direct=00404183; resolved=004AB880	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00420AE0	STSprGameObjC::LoadLifeFrame	local_lifetime	this_00/mg0	pointer(pointer:/undefined4) -> pointer(pointer:/STT3DSprC)	00420E21:t1408 call_argument operand=0 target=00405240	ANALYSIS; direct=00405240; resolved=004AC1A0	retain neutral or current storage; require an exact per-use view	single undefined local lifetime; exact_type_votes=4; score=16; sources=[call_argument]; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol	review	1	1
00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	local_lifetime	uVar20/mg2	scalar(/uint) -> scalar(/int)	004258B1:t4368 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	local_lifetime	uVar22/mg1	scalar(/uint) -> scalar(/int)	0042665E:t5522 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	local_lifetime	uVar22/mg2	scalar(/uint) -> scalar(/int)	00426688:t5609 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	local_lifetime	uVar22/mg3	scalar(/uint) -> scalar(/int)	004266AF:t5694 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	local_lifetime	uVar28/mg0	scalar(/uint) -> scalar(/int)	004258AA:t4333 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00424E10	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004248D0::FUN_00424e10	local_lifetime	uVar28/mg1	scalar(/uint) -> scalar(/int)	00425911:t4604 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00428E50	FUN_00428e50	local_lifetime	local_b4/mg0	scalar(/undefined8) -> floating(/double)	00428F00:t19012 floating_value_role operand=1 target=	FLOAT_DIV	persistent High lifetime already carries the proposed domain	single undefined local lifetime; exact_type_votes=2; score=24; sources=[floating_role]	resolved	1	1
00428E50	FUN_00428e50	local_lifetime	local_b4/mg0	scalar(/undefined8) -> floating(/double)	00428F3B:t19017 floating_value_role operand=1 target=	FLOAT_DIV	persistent High lifetime already carries the proposed domain	single undefined local lifetime; exact_type_votes=2; score=24; sources=[floating_role]	resolved	1	1
00428E50	FUN_00428e50	local_lifetime	pSVar8/mg1	pointer(pointer:/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext) -> unknown	004290B9:t760 call_argument operand=0 target=006E25D0	ANALYSIS; direct=006E25D0	retain neutral or current storage; require an exact per-use view	incompatible exact lifetime types=[pointer:/HoloTy, pointer:/SubmarineTitans/Recovered/LibraryContexts/ST3DSMAPContext]	review	1	1
0042A290	LoadLand	local_lifetime	param_1/mg0	pointer(pointer:/cMf32) -> scalar(/int)	0042A2D9:t85 call_argument operand=0 target=006EF640	DEFAULT; direct=006EF640	unattachable High lifetime is represented by the exact address-stable per-use boundary 0042A2D9:t85|006EF640|0	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only	neutralized	1	1
0042A290		unattachable_call_argument_lifetime	generated per-use lifetime	anchors=0042A2D9:t85; target=006EF640; operand=0; locals=param_1; transition=pointer:/cMf32 -> /int	verified by the matching Ghidra analyzer/export evidence	source audit kind=exact_machine_lifetime_call_view	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0042B5B0		output_buffer_post_call_lifetime	generated per-use lifetime	_param_1: exact full-word utility output storage	verified by the matching Ghidra analyzer/export evidence	source audit kind=machine_word_output_lifetime	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0042B620	STAllPlayersC::GetObjPtr	local_lifetime	array/mg0	pointer(pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr) -> unknown	0042B662:t688 typed_copy operand=0 target=	ANALYSIS	retain neutral or current storage; require an exact per-use view	incompatible exact lifetime types=[pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr, pointer:/SubmarineTitans/Recovered/DArrayTy]	review	1	1
0042B620		output_buffer_post_call_lifetime	generated per-use lifetime	_objPtr: exact full-word utility output storage	verified by the matching Ghidra analyzer/export evidence	source audit kind=machine_word_output_lifetime	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0042B760		output_buffer_post_call_lifetime	generated per-use lifetime	call 006ACC70 argument 3: param_1 -> _param_1 as STGroupBoatC *	verified by the matching Ghidra analyzer/export evidence	source audit kind=exact_output_lifetime_materialization	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0042C300		incoming_parameter_slot_lifetime	generated per-use lifetime	_param_1: char[1] -> int x86 stack slot	verified by the matching Ghidra analyzer/export evidence	source audit kind=promoted_parameter_slot_materialization	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0042C300		incoming_parameter_slot_lifetime	generated per-use lifetime	_param_4: char[1] -> int x86 stack slot	verified by the matching Ghidra analyzer/export evidence	source audit kind=promoted_parameter_slot_materialization	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
