severity	phase	scope	subject	check	baseline	candidate	baseline_sha256	candidate_sha256	status	detail
info	accepted-refresh	fixture	virtual_stack_liveins	token:in_stack_	0	0			ok	Detect virtual arguments escaping into synthetic incoming stack inputs
info	accepted-refresh	fixture	virtual_stack_liveins	token:unaff_	0	0			ok	Detect virtual arguments escaping into synthetic incoming stack inputs
info	accepted-refresh	fixture	virtual_stack_liveins	token:CONCAT31(	0	0			ok	Detect virtual arguments escaping into synthetic incoming stack inputs
info	accepted-refresh	fixture	protected_boolean_boundary_a	boundary	calling_convention=__thiscall parameter_count=1 return_type=bool parameters=STBoatC * varargs=false noreturn=false	calling_convention=__thiscall parameter_count=1 return_type=bool parameters=STBoatC * varargs=false noreturn=false			ok	Preserve a whole-CFG accepted boolean return boundary
info	accepted-refresh	fixture	protected_boolean_boundary_a	token:extraout_	0	0			ok	Preserve a whole-CFG accepted boolean return boundary
info	accepted-refresh	fixture	protected_boolean_boundary_a	token:in_stack_	0	0			ok	Preserve a whole-CFG accepted boolean return boundary
info	accepted-refresh	fixture	protected_boolean_boundary_a	token:unaff_	0	0			ok	Preserve a whole-CFG accepted boolean return boundary
info	accepted-refresh	fixture	protected_boolean_boundary_a	token:CONCAT31(	0	0			ok	Preserve a whole-CFG accepted boolean return boundary
info	accepted-refresh	fixture	protected_boolean_boundary_b	boundary	calling_convention=__fastcall parameter_count=1 return_type=bool parameters=STSprGameObjC * varargs=false noreturn=false	calling_convention=__fastcall parameter_count=1 return_type=bool parameters=STSprGameObjC * varargs=false noreturn=false			ok	Preserve a whole-CFG accepted boolean return and reject register-livein growth
info	accepted-refresh	fixture	protected_boolean_boundary_b	token:extraout_	0	0			ok	Preserve a whole-CFG accepted boolean return and reject register-livein growth
info	accepted-refresh	fixture	protected_boolean_boundary_b	token:in_stack_	0	0			ok	Preserve a whole-CFG accepted boolean return and reject register-livein growth
info	accepted-refresh	fixture	protected_boolean_boundary_b	token:unaff_	0	0			ok	Preserve a whole-CFG accepted boolean return and reject register-livein growth
info	accepted-refresh	fixture	protected_boolean_boundary_b	token:CONCAT31(	0	0			ok	Preserve a whole-CFG accepted boolean return and reject register-livein growth
info	accepted-refresh	fixture	ownerless_virtual_boundary	boundary	calling_convention=unknown parameter_count=0 return_type=undefined parameters= varargs=false noreturn=false	calling_convention=unknown parameter_count=0 return_type=undefined parameters= varargs=false noreturn=false			ok	Keep uncertain virtual ownership review-only until independent receiver evidence exists
info	accepted-refresh	fixture	ownerless_virtual_boundary	identity	FUN_005ef470	FUN_005ef470			ok	Keep uncertain virtual ownership review-only until independent receiver evidence exists
info	accepted-refresh	fixture	ownerless_virtual_boundary	token:extraout_	0	0			ok	Keep uncertain virtual ownership review-only until independent receiver evidence exists
info	accepted-refresh	fixture	ownerless_virtual_boundary	token:in_stack_	0	0			ok	Keep uncertain virtual ownership review-only until independent receiver evidence exists
info	accepted-refresh	fixture	ownerless_virtual_boundary	token:unaff_	0	0			ok	Keep uncertain virtual ownership review-only until independent receiver evidence exists
info	accepted-refresh	fixture	ownerless_virtual_boundary	token:CONCAT31(	0	0			ok	Keep uncertain virtual ownership review-only until independent receiver evidence exists
info	accepted-refresh	fixture	protected_boolean_boundary_c	boundary	calling_convention=__thiscall parameter_count=4 return_type=bool parameters=void *;short;short;short varargs=false noreturn=false	calling_convention=__thiscall parameter_count=4 return_type=bool parameters=void *;short;short;short varargs=false noreturn=false			ok	Preserve an accepted boolean ABI against generic family widening
info	accepted-refresh	fixture	protected_boolean_boundary_c	token:extraout_	0	0			ok	Preserve an accepted boolean ABI against generic family widening
info	accepted-refresh	fixture	protected_boolean_boundary_c	token:in_stack_	0	0			ok	Preserve an accepted boolean ABI against generic family widening
info	accepted-refresh	fixture	protected_boolean_boundary_c	token:unaff_	0	0			ok	Preserve an accepted boolean ABI against generic family widening
info	accepted-refresh	fixture	protected_boolean_boundary_c	token:CONCAT31(	0	0			ok	Preserve an accepted boolean ABI against generic family widening
